English,German
woman diving into deep end of a swimming pool,frau taucht in das tiefe ende eines schwimmbeckens
orange dog jumps over striped posts on course,ein orangefarbene hund springt über gestreifte pfosten auf seinem weg
two women sunbathe by the water,zwei frauen sonnen sich am wasser
small boy in blue striped shirt coming down large slide,kleiner junge in blau gestreiftem t-shirt kommt eine große rutsche herunter
three people are looking at the ground near a table and several chairs,drei personen blicken in der nähe eines tischs und mehrerer stühle auf den boden
a woman in sweatpants is standing by the toilets,eine frau in trainingshosen steht bei den toiletten
a blond woman wearing an apron is putting ingredients into a bowl,eine blonde frau in einer schürze gibt zutaten in eine schüssel
a man in jacket hat and hood facing away from the camera holds his hands up and together,ein mann in jacke mütze und kapuze der von der kamera weg blickt hält seine hände zusammen hoch
a mother is holding her baby in her lap at a restaurant,eine mutter hat in einem restaurant ihr baby auf dem schoß
a man sitting in front of a wall of graffiti,ein mann sitzt vor einer wand mit graffiti
a boy caches a fish while a girl points at the fish,ein junge fängt einen fisch während ein mädchen auf diesen fisch zeigt
these men are practicing martial arts,diese männer machen kampfsport
a red-haired woman sits on a couch with her legs crossed,eine rothaarige frau sitzt mit überkreuzten beinen auf einem sofa
a woman is wearing ice skates and there are groups of people in the background,eine frau in schlittschuhen mit mehreren personengruppen im hintergrund
a group of people are standing in a room with skylights,eine gruppe von menschen steht in einem raum mit oberlichtern
a man with a camera studies his work,ein mann mit kamera begutachtet seine arbeit
a kid is playing in water in the street,ein kind spielt auf der straße im wasser
a female is helping a child drive a bumper car,eine frau hilft einem kind auf einem autoskooter zu fahren
three men pouring cement from a cement truck,drei männer gießen beton aus einem betonmischlaster
the small boy is running and smiling,ein kleiner junge lacht beim laufen
a man stuffs a fowl from ingredients in a blue bowl,ein mann füllt ein huhn mit zutaten aus einer blauen schüssel
a brown dog is leaping into the air to catch a ball,ein brauner hund springt in die luft um einen ball zu fangen
a young black girl emerges from the bathroom wrapped in a bathrobe and towel,eine junges schwarzes mädchen tritt aus dem bad eingewickelt in bademantel und handtuch
a person riding a bike doing a very high jump,eine person fährt auf einem rad und vollführt einen sehr hohen sprung
a boy and girl are standing together and the girl is holding a volleyball,ein junge und ein mädchen stehen nebeneinander und das mädchen hält einen volleyball
a bunch of motorcycle racers in colorful helmets racing neck to neck,eine gruppe motorradfahrer mit bunten helmen fährt ein kopf-an-kopf-rennen
three men in fishing caps are standing on rocks,drei männer in fischermützen stehen auf felsen
two men in suits one sitting and one standing are having a discussion as they wait for public transportation,ein sitzender und ein stehender mann in anzügen diskutieren miteinander während sie auf ein öffentliches transportmittel warten
two young girls wearing pink playing on a playground,zwei rosa gekleidete mädchen spielen auf einem spielplatz
two men and a woman looking at pictures in a tattoo parlor,zwei männer und eine frau sehen sich bilder in einem tattoo-studio an
the group of hikers is resting in front of a mountain,die wandergruppe macht vor einem berg rast
a group of cheerleaders in black and orange outfits are cheering,eine gruppe von cheerleadern in schwarz-orangefarbenen outfits jubelt
indian women discussing their task on a dirt road,inderinnen sprechen auf einem feldweg über ihre arbeit
a woman and child riding camels near the ocean,eine frau und ein kind reiten auf kamelen am meer
there are a team of winter athletes skiing together in a line formation,ein wintersportteam fährt hintereinander ski
there is a chun kuk do tournament with a group of spectators watching,chun-kuk-do-turnier mit einer gruppe von zuschauern
woman with glasses plastic gloves and a lab coat puts drops in a test tube,eine frau mit schutzbrille plastikhandschuhen und einem laborkittel füllt tropfen in ein reagenzglas
a group of shoppers line the street of a commercial district beside a mountain,eine gruppe von einkäufern säumt die straße in einem geschäftsviertel nahe eines berges
a woman in a red coat is on the skiing,eine frau in einem roten mantel läuft auf skiern
a asian girl waters plants next to the driveway as a lady walks past on the sidewalk,ein asiatisches mädchen gießt pflanzen neben der einfahrt auf dem gehsteig geht eine dame vorbei
a shirtless man making a meal while camping on the beach,ein mann mit nacktem oberkörper bereitet beim campen am strand eine mahlzeit zu
a couple sits to watch the sunset from a bridge,ein paar sitzt auf einer brücke und beobachtet den sonnenuntergang
old man taking a stroll along the beautiful rolling green hills,ein alter mann macht einen spaziergang entlang sanfter grüner hügel
a man is sitting down and he is surrounded by shoes,ein sitzender mann ist von schuhen umgeben
a team of boys are playing football,eine jungenmannschaft spielt football
several people walk up a staircase,mehrere leute gehen eine treppe hoch
two people are taking pictures,zwei personen machen fotos
a refrigerator is stuck in a bank of snow and a man is skiing on it,ein kühlschrank ist in einen schneewall eingeklemmt und ein mann fährt darauf ski
man sitting in the shadows on the steps of a building,ein mann der auf den stufen eines gebäudes im schatten sitzt
a woman waiting on a sidewalk for something,eine frau auf einem bürgersteig wartet auf etwas
several people are walking beside a white fence in a foreign country,mehrere menschen gehen in einem fremden land an einem weißen zaun entlang
two women one in traditional mexican clothing help a child across the street as a man looks on,zwei frauen von denen die eine traditionelle mexikanische kleidung trägt helfen einem kind beim überqueren der straße und ein mann schaut zu
a little boy is sitting in a swing,ein kleiner junge sitzt auf einer schaukel
a group of men in ethnic dress are dancing,eine gruppe von männern in ethno-kleidung tanzt
an older man is playing a violin on the street,eine älterer mann spielt auf der straße auf einer violine
a child that is on the bank of a lake pointing something out in the sky,ein kind am ufer eines sees zeigt auf etwas am himmel
a construction man with a blue hard hat is staring down under,ein bauarbeiter mit einem blauen schutzhelm stiert nach unten
a man is pushing his blue painted snack cart through the street,ein mann schiebt seinen blau angestrichenen essenswagen durch die straße
worker sawing a large fish with a band saw,arbeiter sägt einen großen fisch mit einer bandsäge
a boy on a skateboard is at the top of a ramp,ein junge auf einem skateboard ist oben auf einer rampe
two dogs grasp a red object at once,zwei hunde greifen gleichzeitig einen roten gegenstand
a little girl in pink clothes holding yellow rods,ein kleines mädchen in rosafarenen kleidern hält gelbe stäbe
the man in the robe has gold on his beard,der mann in der robe hat gold auf dem bart
a woman in orange work clothes next to a large blue trashcan is helping a man sweep some dirt and water into a dustpan,eine frau in oranger arbeitskleidung neben einer großen blauen mülltonne hilft einem mann schmutz und wasser in eine handschaufel zu kehren
a boy kicks a giant baseball while a group of children watch,ein junge kickt einen riesigen baseball während eine gruppe von kindern zuschaut
a family is enjoying a meal together while their 4 dogs are all enjoying a nap on the floor circling around the table,eine familie genießt ein essen während ihre vier hunde um den tisch herum auf dem boden schlafen
protesters in a city promoting the cause to stop hunger and war,demonstranten in einer stadt treten dafür ein hunger und krieg zu stoppen
a man in the navy is looking in something,ein marinesoldat schaut in etwas hinein
a black and white dog runs over snow by a tree and bench,ein schwarz-weißer hund rennt in der nähe eines baums und einer bank über den schnee
the girl in blue jeans and white shirt is balancing on one leg,das mädchen mit bluejeans und weißem oberteil balanciert auf einem bein
a man enjoys the sun in a park,ein mann genießt die sonne in einem park
five workers sitting in front of trucks eating lunch,fünf arbeiter die vor lkws sitzen und zu mittag essen
a mountain biker is riding on a woodland path,ein mountainbiker fährt auf einem waldweg
american hat is with blue stars and red stripes looks pretty on this girl,ein amerikanischer hut mit blauen sternen und roten streifen sieht an diesem mädchen hübsch aus
a man wearing black speaks into a microphone while a woman writes,ein mann in schwarz spricht in ein mikrofon während eine frau schreibt
two dogs one white and one brown run along side each other near a grassy field,zwei hunde ein weißer und ein brauner hund laufen nebeneinander in der nähe einer wiese
a skier wearing white sunglasses is skiing down a snowy mountain very fast,ein skifahrer mit einer weißen sonnenbrille rast einen schneebedeckten berg hinunter
a man in a yellow shirt is running in a race,ein mann in einem gelben oberteil bei einem rennen
a man with a camera wearing a blue shirt and jeans stands between two tall buildings,ein mann in blauem hemd und jeans mit einer kamera steht zwischen zwei hohen gebäuden
people passing the time in a city in a middle eastern country,in einer stadt in einem nahöstlichen land vertreiben sich leute die zeit
a black and a white dog are going after a tennis ball,ein schwarzer und ein weißer hund laufen hinter einem tennisball her
a man is giving two thumbs up to a crowd of people,ein mann zeigt der menschenmenge zwei daumen nach oben
two shadowy figures standing under a bridge two cans at their feet,zwei schattenhafte figuren stehen unter einer brücke zu ihren füßen stehen zwei dosen
old world stone houses and streets look lovely in the background and faint person can be seen walking,die steinhäuser und straßen im hintergrund sehen hübsch aus und außerdem ist eine undeutliche gehende person zu sehen
one brown dogs snarls at the other dog while they both are in the snow,ein brauner hund knurrt den anderen hund an und beide sind im schnee
a mother and two children are posing with funny faces,eine mutter und zwei kinder posieren mit lustigen gesichtern
a man with a vest and tie on performing in front of a crowd,ein mann mit einer weste und einer krawatte tritt vor einer menschenmenge auf
a baseball player sliding into home as the opposing team &apos;s catcher awaits the baseball for the out,ein baseballspieler rutscht richtung home plate während ein fänger des gegnerischen teams darauf wartet dass der baseball ins aus geht
the white dog is wading in the pond atop the mountain,der weiße hund wadet im teich auf dem berg
a child climbs up the inside of a red tube in a play structure,ein kind klettert die innenseite einer roten röhre in einem spielgerüst hoch
a person with neon pink hair and yellow shirt is looking out across a beach,eine person mit neonpinkfarbenem haar und gelbem t-shirt blickt über einen strand
man in brown jacket with his arm around person in black jacket at flower shop,ein mann in einer braunen jacke der seinen arm in einem blumengeschäft um eine person in einer schwarzen jacke gelegt hat
two young men work over a grill preparing and serving food on sticks,zwei junge männer arbeiten an einem grill bereiten essen auf spießen zu und servieren es
a black dog jumps over a pole on green grass,ein schwarzer hund springt im grünen gras über eine stange
two men are examining a bicycle tire while a woman in the background leans on a wall next to a pot of geraniums,zwei männer untersuchen einen fahrradreifen während eine frau im hintergrund neben einem topf mit geranien gegen eine wand lehnt
a man using a wheelchair is talking in a field to a couple women,ein mann in einem rollstuhl spricht mit ein paar frauen auf einem feld
two large cocks are seen outside the el pub restaurantcom restaurant,zwei riesige hähne stehen vor dem restaurant &quot; el pub &quot;
a person eats noodles,eine person isst nudeln
two men with red vests and green hats smoothing out wet cement,zwei männer mit roten westen und grünen hüten glätten nassen zement
man inspecting his bicycle near a road,ein mann inspiziert sein fahrrad in der nähe einer straße
a woman sitting at a picnic table is holding a baby,eine frau sitzt an einem picknicktisch und hält ein baby
a boy is riding a dolly passed two 1950s cars,ein junge fährt auf einem wagen an zwei autos von 1950 vorbei
five people are falling in the sky with parachutes,fünf personen befinden sich mit fallschirmen am himmel
a man jumps from a rock into the water,ein mann springt von einem felsen ins wasser
a female cheerleader in a shiney blue cheerleaders outfit leaps across stage while performing,eine cheerleaderin in einem glänzenden blauen cheerleader-outfit springt tanzend über die bühne
bill cunningham on the streets of nyc,bill cunningham in den straßen von new york city
a group of kids sitting in the back of a van together looking at a book,eine gruppe von kindern sitzt hinten in einem van und sieht sich ein buch an
people in front of waterfront 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water,leute vor einem hafengebiet 3 personen sitzen einander zugewandt während ein junge rennt und 2 personen auf das wasser zu gehen
a person in the air on a bike,ein mensch auf dem fahrrad in der luft
4 people are strapped to an amusement park ride,vier menschen sind in einem vergnügungspark in einem fahrgeschäft festgeschnallt
a man wearing a white cap and white sweatshirt working on a roof,ein mann mit weißer mütze und weißem sweatshirt arbeitet auf einem dach
a man in a black shirt is singing into a microphone,ein mann in einem schwarzen t-shirt singt in ein mikrofon
a fancy outdoors cafe on a sunny day,a schickes café im freien an einem sonnigen tag
a young lady is sitting close to homes with solar panels,eine junge dame sitzt in der nähe von häusern mit solaranlagen
a woman in a yellow and black outfit is skiing,eine frau in einem gelb-schwarzen outfit fährt ski
an african woman holding a child in a field,eine afrikanerin hält auf einem feld ein kind
the lady solicits her restaurants &apos;s products on the street,die dame bewirbt ihre restaurantprodukte auf der straße
cricket player with red cap hits the ball outdoors,ein kricketspieler mit einer roten kappe schlägt den ball im freien
the young girl came prepared for rain,das junge mädchen war auf den regen vorbereitet
a man and a woman dressed in semi-formal attire show faces of excitement looking over a table with jenga blocks scattered over it,ein mann und eine frau in halboffizieller kleidung schauen mit einem ausdruck der begeisterung auf einen mit jenga-steinen übersäten tisch
a person wearing a blue shirt and khaki pants climbing in a tree,eine person in einem blauen oberteil und khakifarbenen hosen klettert einen baum hinauf
the little boy is wading through the pool with red arm floaties,ein kleiner junge mit roten schwimmflügeln watet durch den pool
a little baby girl in a blue top and cap sitting in the grass licking her fingers,ein kleines mädchen mit blauem hemdchen und mütze sitzt im gras und leckt seine finger ab
two men from opposite teams playing basketball,zwei männer aus gegnerischen mannschaften spielen basketball
a woman writes a note for an older woman,eine frau schreibt eine notiz für eine ältere frau
three girls with long brown hair are sitting next to each other near a tree,drei mädchen mit langen braunen haaren sitzen nebeneinander in der nähe eines baumes
a dog walks through the snow,ein hund läuft durch den schnee
boy sliding down the slide with outstretched arms,junge rutscht mit ausgestreckten armen die rutsche hinunter
a woman with blond-hair wearing a red white and blue cheerleading outfit holds white t-shirt to pass out,eine frau mit blondem haar in einem rot-weiß-blauen cheerleader-outfit hält weiße t-shirts zum verteilen
two young girls play in a kitchen at nighttime,zwei junge mädchen spielen nachts in der küche
two boots are on two skis moving very fast,zwei skistiefel auf zwei sehr schnell dahingleitenden skiern
a man pokes his out of a small window,ein mann streckt sein gesicht aus einem kleinen fenster
a girl with a white backpack is standing and smaller children are sitting in a row on the ground,ein mädchen mit einem weißen rucksack steht und kleinere kinder sitzen in einer reihe auf dem boden
a man is speaking a presentation while others watch a slide show,ein mann hält eine präsentation ab während andere eine diashow ansehen
five little girls posing in matching dance outfits,fünf kleine mädchen posieren in einheitlichen tanzoutfits
a man in a white jacket is holding a boy who is also wearing a white shirt in his lap,ein mann in einer weißen jacke mit einem jungen auf dem schoß der ebenfalls eine weißes shirt anhat
a man sitting on a chair in the middle of a group,ein mann sitzt in der mitte einer gruppe auf einem stuhl
three women in matching black and yellow dresses and a woman with orange hair,drei frauen in aufeinander gestimmten schwarzen und gelben kleidern und eine frau mit orangefarbenen haaren
girl in plaid shirt riding a unicycle,ein mädchen in einem karierten oberteil fährt auf einem einrad
a group of young people dances with enthusiasm with their partners,eine gruppe jugendlicher tanzt voller begeisterung mit ihren partnern
several people are standing in a room eating,mehrere menschen stehen in einem raum und essen
two men on a traffic light making faces,zwei männer an einer ampel schneiden grimassen
a man on a train with a blue shirt on,ein mann mit einem blauen hemd fährt in einem zug
a dog licking his lips in a room with no food in its dish,ein hund leckt sich in einem zimmer in dem kein essen in seiner schüssel ist die lippen
two fencers one korean and one american in an epee bout,ein koreanischer und ein amerikanischer fechter befinden sich in einem degenkampf
there are many people outside of a large building,da sind viele leute draußen bei einem großen gebäude
two men are building something together,zwei männer bauen etwas zusammen
two bmx bikers on a muddy course,zwei bmx-fahrer auf einer schlammigen strecke
people working together fill wheelbarrows at a playground,leute arbeiten zusammen um fässer auf einem spielplatz aufzufüllen
a young child holding a rawlings football in the middle of a grassy field,ein kleines kind in der mitte einer grasfläche hält einen rawlings-football
a black man and a large golden dog are on the beach,ein schwarzer mann und ein großer goldener hund am strand
the hikers are climbing up the mountains,die wanderer erklimmen die berge
a couch sits broken while a man sits a table behind them,eine kaputte couch dahinter sitzt ein mann an einem tisch
a man with glasses and a young girl smiling for the camera the girl gives a peace sign,ein mann mit brille und ein junges mädchen lächeln für die kamera und das mädchen macht ein peace-zeichen
a young girl stands in front of a body of water with her hands above her head smiling,ein junges mädchen steht vor einem gewässer hat die hände über dem kopf und lächelt
a woman handing a small child wearing a red shirt an item from a shopping basket,eine frau die einem kleinen kind mit rotem oberteil etwas aus einem einkaufskorb gibt
two skinny white dogs with two standing men in baseball caps,zwei dünne weiße hunde mit zwei stehenden männern in baseballkappen
a sports bar where you can watch the games,eine sportbar wo man spiele verfolgen kann
two people are scuba diving in the blue ocean,zwei menschen tauchen im blauen meer
a worker standing on a high scaffold,ein arbeiter der auf einem hohen gerüst steht
four men are pointing to a measuring stick while crouching,vier männer in der hocke zeigen auf eine messlatte
an individual jumps over some dirt ramps on a black and red four-wheeler,eine person springt auf einem schwarz-roten quad über erdrampen
a motel valet man wearing a trench coat pushing a load of luggage,ein hoteldiener in einem mantel schiebt eine ladung gepäck
boy with dark skin standing on his head with legs spread at the end of a floating wooden boat,ein junge mit dunkler haut der am ende eines schwimmenden holzboots mit gespreizten beinen auf dem kopf steht
two men barbecuing at a beach,zwei männer die am strand grillen
a woman lays in bed with her cat as she pets her,eine frau liegt mit ihrer katze auf dem bett und streichelt sie
two men in white shirts working in a old building,zwei männer mit weißen hemden arbeiten in einem alten gebäude
a mother and kids are admiring a huge soft figure of a pig,eine mutter mit kindern bewundern eine riesige weiche figur eines schweins
two men take measurements of a wall at an open construction site,zwei männer nehmen die maße einer wand an einer offenen baustelle
a man with a fishing pole standing on a beach,ein mann steht mit einer angelrute auf einem strand
women in a white shirt with a scarf walking while texting on her phone,eine frau in einem weißen hemd mit einem schal schreibt sms auf ihrem handy während sie geht
a woman wearing sandals is pushing a cart with vegetables,eine frau in sandalen schiebt einen gemüsekarren
a male artist drawing with chalk on the street,ein künstler zeichnet mit kreide auf der straße
children recite something from white sheet of paper,kinder lesen etwas von einem weißen blatt papier vor
a young girl playing on a playground,ein junges mädchen spielt auf einem spielplatz
a woman in black shorts and a purple top jogging while pushing a gray stroller with a toddler in the stroller,eine frau in schwarzen shorts und einem lila oberteil schiebt beim joggen einen grauen sportkinderwagen mit einem kleinkind vor sich her
a street performer playing a percussion instrument in front of a crowd of people,ein straßenkünstler der vor einer menschenmenge ein schlaginstrument spielt
a woman stands in a crowd wearing a green shirt pink backpack and a mexican flag attached to the bag,eine frau mit grünem t-shirt rosafarbenem rucksack und einer mexikanischen flagge an der tasche steht in einer menschenmenge
a man in neon clothes fixes a street sign,ein mann in neonkleidung repariert ein straßenzeichen
two young asian girls look off into the distance while standing in an urban area,zwei junge asiatische mädchen stehen in einem städtischen gebiet und blicken in die ferne
a man wearing a headset plays a unique instrument for a group of onlookers,ein mann mit headset spielt vor zuschauern auf einem ungewöhnlichen instrument
a gymnast is wearing a leotard and doing a handstand,eine turnerin in einem leotard macht einen handstand
the young lady appears to be a mime among her peers,die junge dame scheint eine mimin unter kollegen zu sein
a door greater is standing at an open door to a building,ein empfangsportier steht an einer geöffneten tür die in ein gebäude führt
a man rides a motorcycle with his dog in the sidecar,ein mann fährt auf einem motorrad sein hund sitzt im beiwagen
a woman holding a tray of liquor shots,eine frau mit einem tablett voller alkohol
a man with a beard in coveralls at a seafood market,ein bärtiger mann steht in arbeitskleidung auf einem markt für meeresfrüchte
graying white man with glasses uses blacksmith tools,ein ergrauender weißer mann mit brille benutzt schmiedewerkzeuge
a man is singing into a microphone as others play instruments,ein mann sinkt in ein mikrofon und andere spielen auf instrumenten
a young man is playing foosball with a couple other people,ein junger mann spielt zusammen mit anderen leuten football
three women in dresses are outside accepting hors d &apos;oeuvres from a caterer,drei frauen die kleider tragen nehmen im freien von einem caterer vorspeisen entgegen
a lady wearing gloves and a ponytail cooks something while people stand and watch,eine frau mit handschuhen und einem zopf kocht etwas während menschen daneben stehen und zuschauen
a young hospitalized child decorates her medical apparatus for the holidays,ein kleines kind im krankenhaus dekoriert seine medizinischen gerätschaften für die feiertage
a worker man hanging from a stack of metal bars,ein arbeiter hängt von einem metallstangenstapel
a teenage girl wearing flannel jumps in a grassy field near a soccer field,eine teenagerin in flannel hüpft auf einer wiese in der nähe eines fußballfelds
a toddler is putting an ornament on a christmas tree,ein kleinkind schmückt einen weihnachtsbaum
two little girls reading a book at the library,zwei kleine mädchen lesen ein buch in der bibliothek
a man waiting for the bus,ein mann wartet darauf auf den bus
a man with a beard and long hair plays the guitar,ein mann mit bart und langen haaren spielt gitarre
little boy in blue shirt and gray shorts running at a park,ein kleiner junge mit blauem hemd und grauen shorts der im park rennt
an elderly woman is reading a paper in an office,eine ältere frau liest ein papier in einem büro
girl in red shirt and white tennis skirt returning the tennis ball,ein mädchen im roten t-shirt und weißen tennisrock schlägt den tennisball zurück
a man with a white beard is wearing an apron and in the kitchen,ein mann mit einem weißen bart trägt eine schürze und befindet sich in der küche
three people enter a building with a handwritten sign that says &quot; welcome bikers &quot;,drei personen betreten ein gebäude mit einen handgeschriebenen schild auf dem steht &quot; welcome bikers &quot;
a little kid jumps up into the air above the ocean,ein kleines kind springt über dem meer in die luft
a boy eating beside a wooden house surrounded by trees,ein junge isst neben einem holzhaus das von bäumen umgeben ist
a man with a long beard is looking at the water,ein mann mit einem langen bart guckt ins wasser
a man and a child at a store checkout counter,ein mann und ein kind an der kasse in einem geschäft
a man in a white cap and shirt hand-paddles a small blue boat,ein mann mit weißer mütze und shirt paddelt in einem kleinen blauen boot
an old woman sits in a transit station next to a backlit advertisement,eine alte frau sitzt in einer umsteigestation neben einer hinterleuchteten werbung
a woman is looking into a trashcan outside of the mango mang,eine frau sieht draußen in einen mülleimer von mango mang
a young male in a blue shirt walk past a white truck at a construction site,ein junger mann in einem blauen hemd geht an einem weißen lkw auf einer baustelle vorbei
a woman in a blue snow outfit is skiing while dragging a tree behind her,eine frau in blauer schneekleidung fährt ski während sie einen baum hinter sich herzieht
the exhaustion in the woman &apos;s face while she continues to ride her bicycle in the competition,einer radfahrerin ist die erschöpfung bei einem radrennen anzusehen
there is a person sitting on a plastic blow-up float in the high piled snow,eine person sitzt auf einer aufblasbaren schwimmhilfe in hoch aufgetürmtem schnee
a woman holds a new baby wearing yellow in an old photograph,auf einem alten foto hält eine frau ein neugeborenes in gelber kleidung
a man in a restaurant having lunch,ein mann isst in einem restaurant zu mittag
a man drives an old-fashioned red race car,ein mann fährt ein altmodisches rotes rennauto
a homeless women is sleeping in front of an altar,ein obdachlose frau schläft vor einem altar
a very young child makes a pouting face at an older male in a leather jacket,ein sehr kleines kind zeigt einem älterem mann in einer lederjacke ein schmollendes gesicht
two guys with snowshoes making their way through the woods,zwei typen mit schneeschuhen sind auf dem weg durch den wald
a woman and her daughter measuring themselves against a giant ruler at &quot; washington farms &quot;,eine frau und ihre tochter messen sich an dem riesenlineal bei &quot; washington farms &quot;
a university of south carolina baseball player hitting a ball with a bat,ein baseballspieler der university of south carolina schlägt einen ball mit einem schläger
a man with goatee rides an escalator,ein mann mit schnurrbart fährt mit dem aufzug
a man in a large crowd converses with his friends,ein mann in einer großen menschenmenge unterhält sich mit freunden
a woman with a pink purse is sitting on a bench,eine frau mit pinkfarbener tasche sitzt auf einer bank
a group of men play instruments on a stage,eine gruppe männer spielt instrumente auf einer bühne
a large black dog runs along a fence in the grass,ein großer schwarzer hund rennt an einem zaun entlang durch das gras
a young boy with blue hair and large blue eyes brushes his teeth,ein kleiner junge mit blauen haaren und großen blauen augen putzt sich die zähne
a man and a woman kiss,ein mann und eine frau küssen sich
a dog running on the beach,ein hund rennt am strand
phone booths occupied by a few people,telefonzellen besetzt von einigen leuten
a man riding a bicycle down a ramp towards a dirt bike course,ein mann fährt ein fahrrad eine rampe hinunter in richtung einer feldwegradstrecke
a view from above of someone tending to trays of fish for sale,sicht von oben auf jemanden der sich um tabletts mit zum verkauf angebotenem fisch kümmert
an emergency worker is looking out the window of a moving vehicle,eine rettungskraft schaut aus dem fenster eines fahrenden fahrzeugs
overweight girl holds a large black gerbil in her hands,ein übergewichtiges mädchen hält eine große schwarze wüstenrennmaus in der hand
a woman is riding a bike down a city sidewalk as men in long suit coats stand around with a line of other people,eine frau fährt auf einem städtischen gehsteig fahrrad während männer in langen anzugjacken mit einer reihe anderer menschen herumstehen
a woman with brown hair is smiling and is wearing a convention-type badge,eine frau mit braunem haar lächelt und trägt ein kongress-namensschild
a man is holding a microphone while her performs with his band,ein mann hält ein mikrofon während er mit seiner band auftritt
a man wearing a scary mask in a show,ein mann mit einer furchterregenden maske in einer show
many dogs are shown in the grass,viele hunde befinden sich auf dem rasen
three men singing with two microphones,drei männer singen an zwei mikrofonen
people boarding a blue white and gold train,menschen besteigen einen zug mit blauen weißen und goldenen farben
two guys joking around with each other,zwei jungs albern herum
a young girl is sitting at a table writing,ein junges mädchen sitzt schreibend an einem tisch
two dogs play in a river one is making a splash,zwei hunde spielen in einem fluss einer plantscht ins wasser
two men dressed in orange robes cross a busy city intersection filled with cars trucks and motor vehicles,zwei männer in orangefarbenen gewändern überqueren eine verkehrsreiche straßenkreuzung an der viele autos lkws und motorräder zu sehen sind
a smiling woman with her eyes closed is swinging on a tire swing,eine lächelnde frau schaukelt mit geschlossenen augen auf einer reifenschaukel
a snowboarder is doing a big jump and is in the air,ein snowboarder macht einen großen sprung und befindet sich in der luft
a boy with a white shirt rolled up is showing his stomach and smiling,ein junge mit einem weißen aufgerollten t-shirt zeigt seinen bauch und lächelt
a very unusually dressed man sitting beside an ice cream cooler,ein sehr ungewöhnlich bekleideter mann der neben einem eiskühler sitzt
a group of children holding butterfly cutouts in the air,eine gruppe kinder hält ausgeschnittene schmetterlinge in die höhe
group of middle-eastern men selling trinkets on street,gruppe von männern aus dem nahen osten verkauft plunder auf der straße
a child is being taught by an adult to ride a sheep,einem kind wird von einem erwachsenen beigebracht wie man auf einem schaf reitet
people standing in line of a beer and curry line,leute stehen nach bier und currygerichten an
a woman carrying plastic bags walks down a scenic path,eine frau trägt plastiktüten und läuft einen idyllischen weg entlang
old man wearing black barret and glasses looks at a newspaper as he walks by an old building,ein alter mann mit baskenmütze und brille schaut in eine zeitung während er an einem alten gebäude vorübergeht
two cops are sitting on an obnoxiously yellow motorcycle,zwei polizisten sitzen auf einem quietschgelben motorrad
a large dog stands in the water,ein großer hund steht im wasser
four boys posing while one boy sets his drink down,vier jungen posieren während ein junge sein getränk absetzt
four young kids have a picture taken of them while in midair,vier junge kids lassen sich fotografieren während sie mitten in der luft sind
children filling water guns from a bucket near a swing-set,kinder füllen ihre wasserpistolen aus einem eimer nahe einer schaukel
two young ladies are sitting on a small be in skimpy dresses,zwei junge frauen sitzen in knappen kleidern auf einem kleinen bett
a young girl sits in the fetal position in pain,ein junges mädchen krümmt sich vor schmerzen
one is running after a frisbee with another individual riding piggyback,eine person rennt einer frisbee-scheibe nach eine andere reitet huckepack
a graceful basketball player stands at the two point line as she throws the ball,eine zierliche basketballspielerin wirft den ball von der zwei-punkte-linie
five people standing under a tent-like structure celebrating the 25th annual longboard classic,fünf personen stehen unter einer zeltähnlichen konstruktion und feiern das 25 annual longboard classic
a man and woman stand in front of a large red modern statue,ein mann und eine frau stehen vor einer großen roten modernen statue
a bulldozer is pushing stones and dirt into a pile,ein bulldozer schiebt steine und erde auf einen haufen
an older man raises his wineglass during an outdoor meal with others,ein älterer mann hebt sein weinglas während eines essens im freien mit anderen
two men behind the counter of a sweet shop while two people look at the sweets,zwei männer sind hinter der theke einer konditorei während zwei personen die süßigkeiten angucken
three girls make faces as one takes a drink while they stand in a busy street,drei mädchen von denen eines gerade trinkt stehen in einer belebten straße und schneiden grimassen
sitting in a beach chair watching the water,im strandkorb sitzen und das meer beobachten
a man and a woman smiling in a nightclub,ein mann und eine frau lächeln in einem nachtclub
a man makes pretzels in the kitchen,ein mann in der küche macht brezeln
a blond boy wipes his nose on his light blue shirt,ein blonder junge wischt sich die nase an seinem hellblauen oberteil ab
a man sits at a messy computer desk in a white room,zwei männer sitzen an einem unordentlichen computertisch in einem weißen raum
a person dressed in winter clothes poses with a snowman surrounded by snow covered landscape,eine person in winterkleidung posiert mit einem schneemann und ist dabei von einer schneebedeckten landschaft umgeben
a man who is fishing from a boardwalk is casting his fishing pole over the railing,ein mann der von einer promenade fischt wirft seine angelrute über das geländer
a red race car with a driver in a sky blue helmet in the racing track,ein rotes rennauto mit einem fahrer in einem himmelblauen helm auf der rennstrecke
two men in blue clothing sit on a boat,zwei blau gekleidete männer sitzen in einem boot
a man in a blue shirt taking a nap,ein mann in einem blauen oberteil schlummert
a woman with luggage walks along a street in front of a large advertisement,eine frau mit gepäck geht vor einer großen werbung die straße entlang
man with dark hair and beard eating a crunchy food item drinking coffee,ein mann mit dunklen haaren und einem bart isst knuspriges essen und trinkt kaffee
an asian women in a yellow shirt looking at postcards while at the register,eine asiatische frau mit gelbem oberteil sieht sich an der kasse postkarten an
a young boy throwing a stone into calm water,ein kleiner junge wirft einen stein in ruhiges wasser
